Month,Start Date,End Date,Service,Unblended Cost (USD),Usage Quantity
2024-11,2024-11-01,2024-11-21,AWS Cost Explorer,0,5
2024-11,2024-11-01,2024-11-21,AWS Data Transfer,-0.0080352372,0
2024-11,2024-11-01,2024-11-21,AWS Key Management Service,0,16
2024-11,2024-11-01,2024-11-21,Amazon Cognito,0,1
2024-11,2024-11-01,2024-11-21,EC2 - Other,0.0080342603,190.2340403663
2024-11,2024-11-01,2024-11-21,Amazon Elastic Compute Cloud - Compute,0.0000009848,215.0536278911
2024-11,2024-11-01,2024-11-21,Amazon Relational Database Service,0,45.8926132232
2024-11,2024-11-01,2024-11-21,Amazon Simple Notification Service,0,50
2024-11,2024-11-01,2024-11-21,Amazon Simple Storage Service,0.0000000358,54.0112294431
2024-11,2024-11-01,2024-11-21,Amazon Virtual Private Cloud,0,257.358053
2024-11,2024-11-01,2024-11-21,Tax,0,0
